found: 535
size 3084 cubes 
size 510 bigP 3643
19^3 = 6859 =  a:3 b:10 c:18
2377^3 = 13430356633 =  a:1230 b:1761 c:1828
2381^3 = 13498272341 =  a:1197 b:1409 c:2079
2383^3 = 13532315887 =  a:96 b:1551 c:2140
2393^3 = 13703392457 =  a:132 b:1062 c:2321
2399^3 = 13806727199 =  a:556 b:839 c:2354
2411^3 = 14014952531 =  a:1354 b:1523 c:2000
2417^3 = 14119845713 =  a:1298 b:1369 c:2108
2417^3 = 14119845713 =  a:1525 b:1733 c:1751
2417^3 = 14119845713 =  a:212 b:1258 c:2297
2417^3 = 14119845713 =  a:433 b:788 c:2384
2423^3 = 14225260967 =  a:431 b:1160 c:2326
2437^3 = 14473267453 =  a:1240 b:1413 c:2136
2437^3 = 14473267453 =  a:1421 b:1498 c:2020
2441^3 = 14544652121 =  a:272 b:1929 c:1944
2459^3 = 14868788579 =  a:236 b:1219 c:2354
2467^3 = 15014381563 =  a:1011 b:1734 c:2062
2467^3 = 15014381563 =  a:1468 b:1636 c:1955
2467^3 = 15014381563 =  a:1564 b:1739 c:1810
2467^3 = 15014381563 =  a:595 b:1575 c:2217
2473^3 = 15124197817 =  a:432 b:1185 c:2374
2473^3 = 15124197817 =  a:726 b:1185 c:2356
2477^3 = 15197705333 =  a:76 b:1820 c:2093
2477^3 = 15197705333 =  a:942 b:1181 c:2334
2503^3 = 15681317527 =  a:114 b:1054 c:2439
2503^3 = 15681317527 =  a:550 b:1002 c:2439
2503^3 = 15681317527 =  a:648 b:1014 c:2431
2503^3 = 15681317527 =  a:687 b:712 c:2466
2521^3 = 16022066761 =  a:1190 b:1474 c:2233
2521^3 = 16022066761 =  a:1521 b:1720 c:1950
2521^3 = 16022066761 =  a:870 b:1873 c:2064
2521^3 = 16022066761 =  a:985 b:1864 c:2048
2539^3 = 16367716819 =  a:198 b:1104 c:2467
2539^3 = 16367716819 =  a:892 b:1180 c:2411
2543^3 = 16445197007 =  a:1583 b:1688 c:1972
2543^3 = 16445197007 =  a:311 b:1114 c:2468
2549^3 = 16561875149 =  a:263 b:717 c:2529
2557^3 = 16718302693 =  a:726 b:1198 c:2445
2591^3 = 17394111071 =  a:698 b:1663 c:2318
2593^3 = 17434421857 =  a:369 b:1470 c:2422
2609^3 = 17759152529 =  a:232 b:1721 c:2330
2617^3 = 17923019113 =  a:1026 b:1825 c:2208
2617^3 = 17923019113 =  a:313 b:1284 c:2508
2621^3 = 18005329061 =  a:110 b:1272 c:2517
2621^3 = 18005329061 =  a:1395 b:1797 c:2117
2621^3 = 18005329061 =  a:584 b:1405 c:2468
2647^3 = 18546494023 =  a:778 b:880 c:2591
